,Event_Name,Venue,Addresses,Event_Date,Number_of_Attendees
1,Freshiam Art Club,"<a class=""cat-rev"" href=""/club.aspx?id=146714"" title=""Club profile of Revery: VR Bar"">Revery: VR Bar</a>"," 728 Monroe Dr. Suite C, Atlanta, Georgia 30308",24 Oct 2018,1
2,Foolish Behaviour,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",25 Oct 2018,2
3,"Blockhead, Yppah, Arms & Sleepers","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",25 Oct 2018,1
4,Collage presents: Full Moon (Pop up Party),"<a class=""cat-rev"" href=""/club.aspx?id=159277"" title=""Club profile of Crazy Atlanta"">Crazy Atlanta</a>"," 182 Courtland St NE Atlanta, GA 30303 United States",26 Oct 2018,4
5,Alley Cat Music with D' Julz,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",26 Oct 2018,5
6,Morgan Page,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",26 Oct 2018,1
7,Halloween Warehouse Party,"<a class=""cat-rev"" href=""/club.aspx?id=148275"" title=""Club profile of Okami"">Okami</a>"," 645 Shelton Ave SW Atlanta, Ga 30310",27 Oct 2018,2
8,Ladies of LCD Soundsystem DJ Tour,"<a class=""cat-rev"" href=""/club.aspx?id=59358"" title=""Club profile of Georgia Theatre"">Georgia Theatre</a>"," 215 North Lumpkin Street, Athens, GA 30601, USA",27 Oct 2018,3
9,Disco Juice Unlimited Experience,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",27 Oct 2018,1
10,Corona Electric Beach Dia De Los Muertos feat. Snbrn,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",27 Oct 2018,1
11,"Thriftworks, Supertask","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",27 Oct 2018,0
12,The Music Room presents: Kidnap,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",27 Oct 2018,0
13,Mija,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",2 Nov 2018,2
14,Whiskey Disco: Sleazy Mcqueen,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",2 Nov 2018,2
15,Deep South: Brian Rojas,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",2 Nov 2018,2
16,Collage X Groove and Flavor presents: Hector (Vatos Locos),"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",3 Nov 2018,10
17,Francesca Lombardo by Alley Cat Music,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",3 Nov 2018,4
18,Lifestyle Saturdays ,"<a class=""cat-rev"" href=""/club.aspx?id=159601"" title=""Club profile of Evangadi Lounge"">Evangadi Lounge</a>"," 4337 Buford Hwy NE 130 & 140, Atlanta, GA 30341",3 Nov 2018,0
19,Merrick and Attila Get Minimal,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",8 Nov 2018,1
20,Red Bull Music presents: ATL is Burning Ball,"<a class=""cat-rev"" href=""/club.aspx?id=158443"" title=""Club profile of Georgia Freight Depot"">Georgia Freight Depot</a>"," 65 M.L.K. Jr Dr SW, Atlanta, GA 30303, USA",9 Nov 2018,2
21,Paul van DYK,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",9 Nov 2018,1
22,Contrastatl - UK Roots Edition,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",9 Nov 2018,1
23,"Michael Scott, Ash Lauryn, Stefan Ringer","<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",9 Nov 2018,1
24,Sunset: Friends & Family [Invite Only],TBA - Atlanta,To Be Announced,10 Nov 2018,54
25,La Choloteca presents El Star Barrio,"<a class=""cat-rev"" href=""/club.aspx?id=37211"" title=""Club profile of The Star Bar"">The Star Bar</a>"," 437 Moreland Ave, Atlanta, GA 30307, USA",10 Nov 2018,1
26,"Iris ESP 101 with Havok Roth, Midnite Panda, & Alex Lucas","<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",10 Nov 2018,0
27,No Place Like with Modd,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",15 Nov 2018,18
28,Nora EN Pure,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",16 Nov 2018,3
29,Tambor Party [Sat Nov 17],"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",17 Nov 2018,8
30,Love Bazaar: Eli Escobar,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",17 Nov 2018,9
31,Foolish Behaviour,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",20 Nov 2018,2
32,Sisters of Turkey Danse Party,"<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",22 Nov 2018,1
0,Oliver Heldens,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",23 Nov 2018,2
1,Lost In Sound III with DJ Akkadian and Emile,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",23 Nov 2018,2
2,Mu/Tual with Jamaica Suk,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",24 Nov 2018,9
3,Expressions with Ash Lauryn & Stefan Ringer,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",24 Nov 2018,4
4,Stafford Brothers,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",24 Nov 2018,1
5,Afrique Electrique,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",24 Nov 2018,1
6,Psycho Disco,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",24 Nov 2018,1
7,Tiga and DJ Three,"<a class=""cat-rev"" href=""/club.aspx?id=156556"" title=""Club profile of District Atlanta"">District Atlanta</a>"," 269 Armour Drive NE, Atlanta, GA 30324, USA",30 Nov 2018,10
8,Collage presents: Sarkis Mikael,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",30 Nov 2018,10
9,Shiba San,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",30 Nov 2018,4
10,Daddy Issues Atlanta * Vicki Powell * DJ Sindri *,"<a class=""cat-rev"" href=""/club.aspx?id=124133"" title=""Club profile of The Heretic"">The Heretic</a>"," 2069 Cheshire Bridge Road Northeast, Atlanta, GA 30324",30 Nov 2018,3
11,Disco Juice Unlimited Experience,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",30 Nov 2018,1
12,Dzeko,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",1 Dec 2018,1
13,"Nastynasty, Huxley Anne, The Morkestra, Houman","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",1 Dec 2018,1
14,DKA presents Pod Blotz,"<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",4 Dec 2018,1
15,"Stuyedeyed, A Drug Called Tradition, Stefan Murphy, Volcano","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",5 Dec 2018,1
16,Rob Garza (Of Thievery Corporation) DJ set; with Support Tocayo,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",6 Dec 2018,25
17,Erick Morillo - Private Label,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",7 Dec 2018,6
18,Ivy Lab,"<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",7 Dec 2018,3
19,First Fridays with Deep South,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",7 Dec 2018,3
20,Unity presents Cold Blue,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",7 Dec 2018,1
21,Resonate: Feat. MK Marc Kinchen,"<a class=""cat-rev"" href=""/club.aspx?id=156556"" title=""Club profile of District Atlanta"">District Atlanta</a>"," 269 Armour Drive NE, Atlanta, GA 30324, USA",7 Dec 2018,1
22,Project B. presents Matthew Dekay Bobi Stevkovski,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",8 Dec 2018,15
23,Nero [DJ SET],"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",8 Dec 2018,4
24,"Homeboy Sandman & Edan, Day Tripper, Steam Mechanics, Thefamilyorchestra, Hosted by Fort Knox,","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",8 Dec 2018,1
25,Contrastatl Season 2 Kickoff feat. Zeplinn,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",13 Dec 2018,1
26,Markus Schulz,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",14 Dec 2018,2
27,"Transparency VI: Komron, Tito Mazzetta, Dee Belvedere","<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",14 Dec 2018,2
28,"Dorfex Bos, Mersiv","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",14 Dec 2018,1
29,Resonate: Feat. The Glitch MOB,"<a class=""cat-rev"" href=""/club.aspx?id=156556"" title=""Club profile of District Atlanta"">District Atlanta</a>"," 269 Armour Drive NE, Atlanta, GA 30324, USA",14 Dec 2018,1
30,Tambor 'Holiday' Party,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",15 Dec 2018,18
31,Excursions: ATL 2018,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",15 Dec 2018,6
32,Cardio Pres. Sassmouth,"<a class=""cat-rev"" href=""/club.aspx?id=160619"" title=""Club profile of Banshee"">Banshee</a>"," 1271 Glenwood Ave SE, Atlanta, GA, 30316",15 Dec 2018,5
33,Sunset: Friends & Family [Invite Only],TBA - Atlanta,To Be Announced,15 Dec 2018,5
34,"Ritual-Dee Belvedere, Atilla, Mesa, Koh^nim","<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",15 Dec 2018,2
35,La Choloteca,"<a class=""cat-rev"" href=""/club.aspx?id=29727"" title=""Club profile of MJQ Concourse"">MJQ Concourse</a>"," 736 Ponce De Leon Place, Atlanta, GA",20 Dec 2018,2
36,KSHMR,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",21 Dec 2018,4
37,Randall M,"<a class=""cat-rev"" href=""/club.aspx?id=108256"" title=""Club profile of The Alley Cat Music Club"">The Alley Cat Music Club</a>"," 182 Courtland St NE Atlanta,GA 30312",21 Dec 2018,1
38,Kudzu feat. Reggie Dokes/Laura Indorf/DJ NSA/Bereft,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",22 Dec 2018,1
0,Mark Knight,"<a class=""cat-rev"" href=""/club.aspx?id=156556"" title=""Club profile of District Atlanta"">District Atlanta</a>"," 269 Armour Drive NE, Atlanta, GA 30324, USA",27 Dec 2018,5
1,Foolish Behaviour,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",27 Dec 2018,3
2,Alley Cat Music: Seb-Zito,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",28 Dec 2018,3
3,Cedric Gervais presented by Beware,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",28 Dec 2018,2
4,Gorgon City,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",29 Dec 2018,6
5,"Jade Cicada, Detox Unit","<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",29 Dec 2018,2
6,New Year's Xtravaganza,"<a class=""cat-rev"" href=""/club.aspx?id=151882"" title=""Club profile of Midcity Cafe"">Midcity Cafe</a>"," 850 W Peachtree St NW, Atlanta, Georgia 30308",31 Dec 2018,9
7,Jezebel Magazine New Year's Eve 2019 Party,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",31 Dec 2018,2
8,Nyecarib 2018,"<a class=""cat-rev"" href=""/club.aspx?id=154612"" title=""Club profile of Coconut Grill"">Coconut Grill</a>"," 4181 Steve Reynolds Boulevard, Norcross 30093",31 Dec 2018,0
9,Nye1804: New Years Eve / Haitian Independence,"<a class=""cat-rev"" href=""/club.aspx?id=154612"" title=""Club profile of Coconut Grill"">Coconut Grill</a>"," 4181 Steve Reynolds Boulevard, Norcross 30093",31 Dec 2018,0
10,Iris NYE 2019 - A New Year to Believe In,"<a class=""cat-rev"" href=""/club.aspx?id=160114"" title=""Club profile of Believe Music Hall"">Believe Music Hall</a>"," 181 Ralph David Abernathy Blvd SW, Atlanta, Georgia 30312",31 Dec 2018,0
11,Southern Exposure Music NYE,"<a class=""cat-rev"" href=""/club.aspx?id=113431"" title=""Club profile of Speakeasy Lounge"">Speakeasy Lounge</a>"," 156 Forsyth St SW, Atlanta, GA 30303",1 Jan 2019,2
12,Collage presents: Afriqua,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",4 Jan 2019,5
13,Contrastatl - Deep Disco Edition with Vanati,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",10 Jan 2019,0
14,subtle presents Coyu & Anja Schneider,"<a class=""cat-rev"" href=""/club.aspx?id=7594"" title=""Club profile of Opera"">Opera</a>"," 1150B Peachtree Street; Atlanta, GA 30309; United States",11 Jan 2019,7
15,"Kai Alce, Stan Zeff, and Keiran","<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",11 Jan 2019,2
16,House of Funk,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",11 Jan 2019,1
17,Jeffrey Sutorius,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",11 Jan 2019,1
18,Lost In Sound: Axis Mundi,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",11 Jan 2019,0
19,Benjamin Damage (DJ Set) at Ritual Night,"<a class=""cat-rev"" href=""/club.aspx?id=67798"" title=""Club profile of Space 2"">Space 2</a>"," 485 Edgewood Ave, Atlanta, GA 30312",12 Jan 2019,14
20,Steve Lawler,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",12 Jan 2019,6
21,AfroPop! Atlanta Vol.10: Customer Appreciation Rain-Check,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",12 Jan 2019,1
22,Project B. Bobi Stevkovski (Open To Close),"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",12 Jan 2019,1
23,Cash Cash,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",18 Jan 2019,2
24,Max Graham: Open To Close,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",18 Jan 2019,1
25,Tambor Party [Sat Jan 19],"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",19 Jan 2019,10
0,Foolish Behaviour,"<a class=""cat-rev"" href=""/club.aspx?id=152628"" title=""Club profile of Edgewood Speakeasy"">Edgewood Speakeasy</a>"," 327 Edgewood Ave SE, Atlanta, GA 30312, USA",24 Jan 2019,1
1,subtle presents: Ciszak vs Bot,"<a class=""cat-rev"" href=""/club.aspx?id=14299"" title=""Club profile of Opera Nightclub"">Opera Nightclub</a>"," 1150 Crescent Ave NE B, Atlanta, GA 30309, USA",25 Jan 2019,2
2,Nghtmre,"<a class=""cat-rev"" href=""/club.aspx?id=157984"" title=""Club profile of Ravine"">Ravine</a>"," 1021 Peachtree St NE, Atlanta, GA 30309",25 Jan 2019,1
3,Housewerk with Cazztek,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",26 Jan 2019,2
4,Out of Bounds ,TBA - Atlanta,To Be Announced,26 Jan 2019,2
