,Event_Name,Venue,Addresses,Event_Date,Number_of_Attendees
11,4 to the Floor Nite,"<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",12 Feb 2018,2
12,Knower (w/ Full Band),"<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",12 Feb 2018,1
13,"J:Kenzo, Zen Selekta, D0kt3r","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",13 Feb 2018,0
14,La Choloteca,"<a class=""cat-rev"" href=""/club.aspx?id=29727"" title=""Club profile of MJQ Concourse"">MJQ Concourse</a>"," 736 Ponce De Leon Place, Atlanta, GA",15 Feb 2018,1
15,Alley Cat Music: Heartthrob,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",16 Feb 2018,2
16,Deep South presents Horse Meat Disco,"<a class=""cat-rev"" href=""/club.aspx?id=124133"" title=""Club profile of The Heretic"">The Heretic</a>"," 2069 Cheshire Bridge Road Northeast, Atlanta, GA 30324",17 Feb 2018,8
17,Tambor Party & Wildpitch presents David Morales,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",17 Feb 2018,4
18,Unity presents Digital Euphoria Episode 200,"<a class=""cat-rev"" href=""/club.aspx?id=132750"" title=""Club profile of Cue Club at Lava Lounge"">Cue Club at Lava Lounge</a>"," 57 13th St NE, Atlanta, GA 30309, USA",17 Feb 2018,1
19,Fred P,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",18 Feb 2018,3
0,Alley Cat Music: Culoe de Song,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",23 Feb 2018,7
1,"Telefon Tel Aviv, Flohr, Treppenwitz, Dro HZ","<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",23 Feb 2018,2
2,Audio Rover,"<a class=""cat-rev"" href=""/club.aspx?id=146714"" title=""Club profile of Revery: VR Bar"">Revery: VR Bar</a>"," 728 Monroe Dr. Suite C, Atlanta, Georgia 30308",23 Feb 2018,2
3,"Soft Bodies: Ash Lauryn, Beyun",TBA - Atlanta,To Be Announced,24 Feb 2018,3
4,Emancipator Ensemble,"<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",24 Feb 2018,0
5,"Russell E.L. Butler, Twins, Divine Interface Anonima, Megalo","<a class=""cat-rev"" href=""/club.aspx?id=56892"" title=""Club profile of The 529"">The 529</a>"," 529 Flat Shoals Ave, Atlanta, GA 30316 USA",27 Feb 2018,0
6,Transparency V [Pop-Up]: Komron & Tito Mazzetta,"<a class=""cat-rev"" href=""/club.aspx?id=27112"" title=""Club profile of The Sound Table"">The Sound Table</a>"," 483 Edgewood Avenue SE; Atlanta, GA 30312; United States",3 Mar 2018,3
7,The Gathering 13yr Anniversary wsg Julie Mcknight,"<a class=""cat-rev"" href=""/club.aspx?id=41317"" title=""Club profile of The Music Room"">The Music Room</a>"," 327 Edgewood Avenue, Atlanta, GA 30312, USA",3 Mar 2018,2
8,Unity presents: Factor B,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",3 Mar 2018,1
9,Lane 8 - 2nd Night Added,"<a class=""cat-rev"" href=""/club.aspx?id=73406"" title=""Club profile of Terminal West"">Terminal West</a>"," 887 West Marietta St NW, Atlanta, GA 30318, United States",7 Mar 2018,2
10,Jay Electronica,"<a class=""cat-rev"" href=""/club.aspx?id=84476"" title=""Club profile of Center Stage Theater"">Center Stage Theater</a>"," 1374 West Peachtree St NW, Atlanta, GA 30309",8 Mar 2018,1
11,Lane 8,"<a class=""cat-rev"" href=""/club.aspx?id=106975"" title=""Club profile of Aisle 5"">Aisle 5</a>"," 1123 Euclid Ave NE, Atlanta, GA 30307, United States",8 Mar 2018,0
12,Audio Rover,"<a class=""cat-rev"" href=""/club.aspx?id=146714"" title=""Club profile of Revery: VR Bar"">Revery: VR Bar</a>"," 728 Monroe Dr. Suite C, Atlanta, Georgia 30308",9 Mar 2018,5
13,Shartthrob 7:Cumdumpster's Ball,"<a class=""cat-rev"" href=""/club.aspx?id=145721"" title=""Club profile of The Bakery Atlanta"">The Bakery Atlanta</a>"," 825 Warner St SW, Atlanta, GA 30310, USA",9 Mar 2018,1
14,Local Grind,"<a class=""cat-rev"" href=""/club.aspx?id=119306"" title=""Club profile of Wildpitch"">Wildpitch</a>"," 255 Trinity Ave SW, Atlanta, GA 30303",9 Mar 2018,1
